## 토큰, 레이블 구분자 : \t
## 토큰 구분자 : \n
## 문장 구분자 : \n\n
## 주석 : ##
## 칼럼명 : INDEX	WORD_FORM	LEMMA	POS	HEAD	DEPREL
## klue-dp-v1_train_00000_wikitree	해당 그림을 보면 디즈니 공주들이 브리트니 스피어스의 앨범이나 뮤직비디오, 화보 속 모습을 똑같이 재연했다.
1	해당	해당	NNG	2	NP
2	그림을	그림 을	NNG+JKO	3	NP_OBJ
3	보면	보 면	VV+EC	14	VP
4	디즈니	디즈니	NNP	5	NP
5	공주들이	공주 들 이	NNG+XSN+JKS	14	NP_SBJ
6	브리트니	브리트니	NNP	7	NP
7	스피어스의	스피어스 의	NNP+JKG	10	NP_MOD
8	앨범이나	앨범 이나	NNG+JC	10	NP_CNJ
9	뮤직비디오,	뮤직 비디오 ,	NNG+NNG+SP	10	NP_CNJ
10	화보	화보	NNG	11	NP
11	속	속	NNG	12	NP
12	모습을	모습 을	NNG+JKO	14	NP_OBJ
13	똑같이	똑같이	MAG	14	AP
14	재연했다.	재연 하 였 다 .	NNG+XSA+EP+EF+SF	0	VP

## klue-dp-v1_train_00001_wikitree	이날 경연에는 곽진언 씨, 김필 씨, 송유빈 군, 장우람 씨, 밴드 '버스터리드', 임도혁 씨가 출전했다.
1	이날	이날	NNG	2	NP
2	경연에는	경연 에 는	NNG+JKB+JX	15	NP_AJT
3	곽진언	곽진언	NNP	4	NP
4	씨,	씨 ,	NNB+SP	14	NP_CNJ
5	김필	김필	NNP	6	NP
6	씨,	씨 ,	NNB+SP	14	NP_CNJ
7	송유빈	송유빈	NNP	8	NP
8	군,	군 ,	NNB+SP	14	NP_CNJ
9	장우람	장우람	NNP	10	NP
10	씨,	씨 ,	NNB+SP	14	NP_CNJ
11	밴드	밴드	NNG	12	NP
12	'버스터리드',	' 버스터리드 ' ,	SS+NNP+SS+SP	14	NP_CNJ
13	임도혁	임도혁	NNP	14	NP
14	씨가	씨 가	NNB+JKS	15	NP_SBJ
15	출전했다.	출전 하 였 다 .	NNG+XSV+EP+EF+SF	0	VP

## klue-dp-v1_train_00002_wikitree	최근 우리는 과거로부터 이어져온 각종 적폐의 흔적들이 세월이 흘러도 후손들에게 상처로 남는다는 교훈을 얻었습니다.
1	최근	최근	NNG	14	NP_AJT
2	우리는	우리 는	NP+JX	14	NP_SBJ
3	과거로부터	과거 로부터	NNG+JKB	4	NP_AJT
4	이어져온	잇 어 지 어 오 ㄴ	VV+EC+VX+EC+VX+ETM	6	VP_MOD
5	각종	각종	NNG	6	NP
6	적폐의	적폐 의	NNG+JKG	7	NP_MOD
7	흔적들이	흔적 들 이	NNG+XSN+JKS	12	NP_SBJ
8	세월이	세월 이	NNG+JKS	9	NP_SBJ
9	흘러도	흐르 어도	VV+EC	12	VP
10	후손들에게	후손 들 에게	NNG+XSN+JKB	12	NP_AJT
11	상처로	상처 로	NNG+JKB	12	NP_AJT
12	남는다는	남 는다는	VV+ETM	13	VP_MOD
13	교훈을	교훈 을	NNG+JKO	14	NP_OBJ
14	얻었습니다.	얻 었 습니다 .	VV+EP+EF+SF	0	VP

## klue-dp-v1_train_00003_wikitree	야권에서는 박근혜 대통령까지 문제 삼고 있지만 이 문제는 박근혜 대통령과는 아무 상관이 없다는 것을 민주당과 문재인 후보가 더 잘 알 것입니다.
1	야권에서는	야권 에서 는	NNG+JKB+JX	5	NP_AJT
2	박근혜	박근혜	NNP	3	NP
3	대통령까지	대통령 까지	NNG+JX	5	NP_OBJ
4	문제	문제	NNG	5	NP_OBJ
5	삼고	삼 고	VV+EC	6	VP
6	있지만	있 지만	VX+EC	20	VP
7	이	이	MMD	8	DP
8	문제는	문제 는	NNG+JX	13	NP_SBJ
9	박근혜	박근혜	NNP	10	NP
10	대통령과는	대통령 과 는	NNG+JKB+JX	13	NP_AJT
11	아무	아무	MMD	12	DP
12	상관이	상관 이	NNG+JKS	13	NP_SBJ
13	없다는	없 다는	VA+ETM	14	VP_MOD
14	것을	것 을	NNB+JKO	20	NP_OBJ
15	민주당과	민주당 과	NNP+JC	17	NP_CNJ
16	문재인	문재인	NNP	17	NP
17	후보가	후보 가	NNG+JKS	20	NP_SBJ
18	더	더	MAG	19	AP
19	잘	잘	MAG	20	AP
20	알	알 ㄹ	VV+ETM	21	VP_MOD
21	것입니다.	것 이 ㅂ니다 .	NNB+VCP+EF+SF	0	VNP

## klue-dp-v1_train_00004_wikitree	만약 직장가입자가 근로소득 외에 사업소득, 이자, 배당, 임대소득 등을 합친 종합소득이 7천200만원을 넘는 경우 추가로 최대 230만원까지 보험료가 부과된다.
1	만약	만약	NNG	13	AP
2	직장가입자가	직장 가입자 가	NNG+NNG+JKS	13	NP_SBJ
3	근로소득	근로 소득	NNG+NNG	4	NP
4	외에	외 에	NNB+JKB	10	NP_AJT
5	사업소득,	사업 소득 ,	NNG+NNG+SP	8	NP_CNJ
6	이자,	이자 ,	NNG+SP	8	NP_CNJ
7	배당,	배당 ,	NNG+SP	8	NP_CNJ
8	임대소득	임대 소득	NNG+NNG	9	NP
9	등을	등 을	NNB+JKO	10	NP_OBJ
10	합친	합치 ㄴ	VV+ETM	11	VP_MOD
11	종합소득이	종합 소득 이	NNG+NNG+JKS	13	NP_SBJ
12	7천200만원을	7 천 200 만 원 을	SN+NR+SN+NR+NNB+JKO	13	NP_OBJ
13	넘는	넘 는	VV+ETM	14	VP_MOD
14	경우	경우	NNG	19	NP_AJT
15	추가로	추가 로	NNG+JKB	17	NP_AJT
16	최대	최대	NNG	17	NP
17	230만원까지	230 만 원 까지	SN+NR+NNB+JX	19	NP_AJT
18	보험료가	보험료 가	NNG+JKS	19	NP_SBJ
19	부과된다.	부과 되 ㄴ다 .	NNG+XSV+EF+SF	0	VP

## klue-dp-v1_train_00005_wikitree	전문가들이 초기 대응의 중요성을 강조하지만, 응급 처치는 전문가나 119구급대에 맡겨야 한다는 잘못된 인식 때문에 일반인들은 여전히 심폐소생술을 꺼리고 있다.
1	전문가들이	전문가 들 이	NNG+XSN+JKS	5	NP_SBJ
2	초기	초기	NNG	3	NP
3	대응의	대응 의	NNG+JKG	4	NP_MOD
4	중요성을	중요 성 을	NNG+XSN+JKO	5	NP_OBJ
5	강조하지만,	강조 하 지만 ,	NNG+XSV+EC+SP	18	VP
6	응급	응급	NNG	7	NP
7	처치는	처치 는	NNG+JX	10	NP_OBJ
8	전문가나	전문가 나	NNG+JC	9	NP_CNJ
9	119구급대에	119 구급대 에	SN+NNG+JKB	10	NP_AJT
10	맡겨야	맡기 어야	VV+EC	11	VP
11	한다는	하 ㄴ다는	VX+ETM	13	VP_MOD
12	잘못된	잘못 되 ㄴ	MAG+XSV+ETM	13	VP_MOD
13	인식	인식	NNG	14	NP
14	때문에	때문 에	NNB+JKB	18	NP_AJT
15	일반인들은	일반인 들 은	NNG+XSN+JX	18	NP_SBJ
16	여전히	여전히	MAG	18	AP
